
"Sr. No","Scholarship","Educational Qualification","Type","Gender","Description","Eligibility Based on Educational Criteria","Eligibility Based on Family Income","Application Start","Application Deadline"
"1","Merit-Based Scholarship","Undergraduate","Merit-based","All","Recognizes outstanding academic performance by providing ₹50,000 to deserving UG students. Offered by educational institutions, the application process requires submission of academic transcripts and a personal statement. Applicants may also need to participate in an interview. To secure this scholarship, students must apply online before the deadline, showcasing their achievements and aspirations. All students are eligible regardless of caste.","Minimum 80% in last examination","Below ₹1,50,000","2024-01-01","2024-05-01"
"2","OBC Support Fund","Postgraduate","Need-based","All","Aims to empower PG students from Other Backward Classes (OBC) with financial assistance of up to ₹1,00,000. Offered by government agencies and non-profits, applicants must submit proof of income and a personal statement detailing their educational goals. The scholarship may also include mentorship opportunities for recipients to enhance their academic journey. Only OBC candidates are eligible.","Minimum 70% in last examination","Below ₹3,00,000","2024-02-01","2024-06-15"
"3","SC/ST Empowerment Grant","High School","Need-based","All","Provides ₹30,000 to high school students from Scheduled Castes and Scheduled Tribes to help overcome financial barriers. Offered by educational institutions and government bodies, the application process includes submitting academic records and a statement of need. Selected candidates may also receive guidance and support in their educational pursuits. Only SC/ST candidates are eligible.","Minimum 60% in last examination","Below ₹1,20,000","2024-03-01","2024-04-20"
"4","General Excellence Award","Undergraduate","Merit-based","All","Celebrates UG students with exceptional academic and extracurricular achievements, offering ₹75,000. This award is provided by various educational institutions and requires submission of an application detailing achievements and community service. Recipients may also gain access to networking events and workshops to foster their personal and professional growth. All students are eligible regardless of caste.","Minimum 85% in last examination","Below ₹5,00,000","2024-01-15","2024-07-10"
"5","Women in STEM Scholarship","Postgraduate","Need-based","Female","Supports female PG students pursuing degrees in STEM fields with ₹1,50,000. Offered by organizations focused on gender diversity, applicants must submit a personal statement outlining their career goals in STEM. The scholarship may also include internship opportunities and access to a mentorship program with industry professionals. All female students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,00,000","2024-02-15","2024-08-01"
"6","Community Service Grant","High School","Other","All","Offers ₹30,000 to high school students engaged in community service projects. This grant is provided by non-profit organizations and requires a statement detailing community service involvement. Selected recipients may also participate in community leadership training programs to enhance their skills and impact. All students are eligible regardless of caste.","Minimum 65% in last examination","Below ₹1,50,000","2024-03-15","2024-05-30"
"7","Sports Achievement Award","Undergraduate","Sports","All","Recognizes UG student-athletes with ₹1,00,000 for their dedication to sports and academics. Offered by educational institutions, applicants must provide documentation of their sports achievements and a personal statement. Awardees may also receive opportunities for sports training and development to further their athletic careers. All students are eligible regardless of caste.","Minimum 70% in last examination","Below ₹1,80,000","2024-01-20","2024-06-01"
"8","Arts and Culture Scholarship","Postgraduate","Other","All","Nurtures creativity in arts and cultural studies with a ₹50,000 award for PG students. Offered by arts organizations and educational institutions, applicants must submit a portfolio of their work and a personal statement. Recipients may also gain access to workshops and exhibitions to showcase their talents and connect with industry professionals. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹4,00,000","2024-02-20","2024-07-15"
"9","STEM Innovation Grant","Undergraduate","Other","All","Supports innovative projects in STEM fields with ₹75,000 for UG students. Offered by educational institutions and tech organizations, applicants must submit a project proposal along with their application. Selected projects may receive additional resources and mentorship to help bring their innovations to fruition.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-05","2024-05-15"
"10","Tech for Tomorrow Scholarship","Undergraduate","Merit-based","All","Provides ₹60,000 to UG students pursuing technology-related degrees. Offered by tech companies, applicants must submit a project proposal and academic transcripts. Recipients may also get internship opportunities at partner companies. All students are eligible regardless of caste.","Minimum 75% in last examination","Below ₹2,50,000","2024-01-05","2024-05-15"
