"Sr. No","Scholarship","Educational Qualification","Type","Description","Eligibility Based on Educational Criteria","Eligibility Based on Family Income","Application Start","Application Deadline"
"1","Merit-Based Scholarship","Undergraduate","All","₹50,000 for General, ₹75,000 for OBC, ₹1,00,000 for SC/ST","Minimum 75% in last examination","Below ₹1,80,000","2024-01-01","2024-05-01"
"2","OBC Support Fund","Graduate","National","₹1,00,000 for OBC students only","Minimum 70% in last examination","Above ₹4,50,000","2024-02-01","2024-06-15"
"3","SC/ST Empowerment Grant","High School","National","₹25,000 for SC/ST students","Minimum 60% in last examination","Below ₹1,50,000","2024-03-01","2024-04-20"
"4","General Excellence Award","Undergraduate","National","₹75,000 for General students","Minimum 80% in last examination","Above ₹5,20,000","2024-01-15","2024-07-10"
"5","Women in STEM Scholarship","Graduate","National","₹1,50,000 for female students in STEM fields","Minimum 75% in last examination","Below ₹1,90,000","2024-02-15","2024-08-01"
"6","Community Service Grant","High School","All","₹30,000 for students involved in community service","Minimum 65% in last examination","Above ₹3,20,000","2024-03-15","2024-05-30"
"7","Sports Achievement Award","Undergraduate","All","₹1,00,000 for students with outstanding sports achievements","Minimum 70% in last examination","Below ₹1,70,000","2024-01-20","2024-06-01"
"8","Arts and Culture Scholarship","Graduate","National","₹50,000 for students pursuing arts and culture studies","Minimum 65% in last examination","Above ₹5,10,000","2024-02-20","2024-07-15"
"9","STEM Innovation Grant","Undergraduate","All","₹75,000 for students in STEM fields","Minimum 75% in last examination","Below ₹1,80,000","2024-03-01","2024-08-10"
"10","Leadership Development Fund","Graduate","National","₹1,00,000 for students demonstrating leadership skills","Minimum 70% in last examination","Below ₹1,90,000","2024-01-10","2024-05-15"
"11","Tech Innovators Scholarship","Undergraduate","All","₹50,000 for students in technology-related fields","Minimum 75% in last examination","Below ₹1,85,000","2024-01-05","2024-06-05"
"12","Environmental Awareness Grant","Graduate","National","₹1,00,000 for students focusing on environmental studies","Minimum 70% in last examination","Above ₹3,50,000","2024-02-10","2024-07-20"
"13","Rural Development Scholarship","High School","State","₹25,000 for students from rural areas","Minimum 60% in last examination","Below ₹1,60,000","2024-03-10","2024-04-25"
"14","International Student Grant","Undergraduate","National","₹1,00,000 for international students","Minimum 75% in last examination","Above ₹5,30,000","2024-01-25","2024-08-15"
"15","Health Sciences Scholarship","Graduate","National","₹1,50,000 for students in health sciences","Minimum 80% in last examination","Below ₹1,95,000","2024-02-25","2024-09-01"
"16","Business Leadership Award","Undergraduate","All","₹50,000 for students pursuing business degrees","Minimum 70% in last examination","Above ₹4,80,000","2024-03-05","2024-06-20"
"17","Creative Writing Grant","Graduate","National","₹50,000 for students pursuing creative writing studies","Minimum 65% in last examination","Above ₹5,10,000","2024-01-30","2024-07-25"
"18","Social Work Scholarship","Undergraduate","All","₹1,00,000 for students pursuing social work degrees","Minimum 70% in last examination","Below ₹1,75,000","2024-02-05","2024-05-20"
"19","Engineering Excellence Award","Graduate","National","₹1,00,000 for students in engineering fields","Minimum 80% in last examination","Above ₹4,20,000","2024-03-15","2024-08-20"
"20","Community Engagement Grant","High School","All","₹30,000 for students involved in community service","Minimum 65% in last examination","Below ₹1,65,000","2024-01-15","2024-04-15"
"21","Entrepreneurship Scholarship","Undergraduate","All","₹75,000 for students pursuing entrepreneurship studies","Minimum 75% in last examination","Above ₹4,90,000","2024-02-15","2024-06-25"
"22","Fine Arts Grant","Graduate","National","₹50,000 for students pursuing fine arts studies","Minimum 70% in last examination","Above ₹5,40,000","2024-03-20","2024-07-30"
"23","Science Talent Search Award","High School","All","₹50,000 for students demonstrating science talent","Minimum 80% in last examination","Below ₹1,80,000","2024-01-20","2024-05-10"
"24","Mathematics Scholarship","Undergraduate","All","₹75,000 for students pursuing mathematics degrees","Minimum 75% in last examination","Above ₹4,60,000","2024-02-20","2024-06-30"
